"Source Item Name","Teapplix SKU",Memo
"
B0GFY87GJM",NS5336,
5273-2,AM5273-2,
5273-5,AM5273-5,
5274-1,AM5274-1,
5274-10,AM5274-10,
5274-2,AM5274-2,
5274-5,AM5274-5,
5311,5311-1,
5312,5312-1,
5313,5313-1,
6051M,5061MDM,
6415,5164,
6565,5165,
70513205537,2050B,
70513205551,3000w,
70513205568,2050B,
70513215871,3000B,
70513235091,5003S,
70513235138,5003B,
70513235145,5002B,
70513235169,5000B,
70513235176,5000W,
70513235251,5003B-4,
70513235275,5003S-4,
70513235329,5003DM-4,
70513235343,5003MCC-4,
70513235459,5003DM-2,
70513235466,5003MCC-2,
70513235510,5011-2pack,
70513235541,5014P-2,
70513235770,3010w,
70513235794,5000BR,
70513235800,5010c,
70513235824,5010BR,
70513235831,5010B,
70513235848,5011BR,
70513235855,5011B,
70513235862,5011W,
70513235879,2060w,
70513235886,3000C,
70513235909,3012w,
70513235916,5020W-4,
70513235923,5020B-4,
70513235947,5020W-2,
70513235954,5020B-2,
70513235978,5021w-4,
70513235985,5021B-4,
70513236005,5021B-2,
70513236012,5022W-2,
70513236029,5022B-2,
70513236036,5022W,
70513236043,5022B,
70513236050,5023W-2,
70513236104,5026C-2,
70513236111,5027C,
70513236128,5027C-2,
70513236753,5003-24CC,
70513236760,5003-24CC-4,
70513236777,5003-24DM,
70513236784,5003-24DM-4,
70513236791,5003-24MCC,
70513236807,5003-24MCC-4,
70513236814,5003-24MGM,
70513236821,5003-24MGM-4,
70513236838,5003MDM,
70513236845,5003MDM-4,
70513236852,5003-24CC-4,
70513236869,5003-24DM-4,
70513236876,5003-24MCC-4,
70513236883,5003-24MGM-4,
70513236906,5003-24S-4,
70513236913,5003-24S-4,
70513236920,5020B-4,
70513236944,5020W-4,
70513236951,5021B-4,
70513236975,5022B-2,
70513236982,5022W-2,
70513236999,5023W-2,
70513237019,5028P-2,
70513237033,5003-24MDM-4,
70513237040,2050B,
70513237071,5020B-2,
70513237088,5020B-4,
70513237095,5020C-2,
70513237149,5021B-2,
70513237156,5021B-4,
70513237163,5021C-2,
70513237194,5022B,
70513237200,5022B-2,
70513237217,5022W,
70513237224,5022W-2,
70513237262,5028P-2,
70513237316,5029W,
70513237699,5031MCC-4,
70513239211,5042W,
70513239679,5044BG,
70513239686,5044b,
70513240569,3000w,
9059M,5090MDM-4,
9415-2,5149-2,
"""5003-24MCC-4""",5003-24MCC-4,
"""5003-24MGM-2""",5003-24MGM-2,
"""5003-24MGM-4""",5003-24MGM-4,
"""5003-24RCC-4""",5003-24RCC-4,
"""5003DM-4""",5003DM-4,
